experiment,round,train_loss,client_0_agg_weight,client_1_agg_weight,client_2_agg_weight,client_3_agg_weight,client_4_agg_weight,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
rq2_kmeans_smote_fedavg,1,5621.045378067202,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,83.92128589674076,73.3189926147461,10304374.77765773,0.9790056287137501,0.915059521983498,0.0,0.0,0.0,3089,0,620,0,99.09185290678543,94.53789520263672,43039423.622899994,0.9756800926333069,0.7309212488130717,0.0,0.0,0.0,9864,0,332,0
rq2_kmeans_smote_fedavg,2,5047.056359097856,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,80.1253869676693,69.47817993164062,7341833.377485208,0.9758346473960673,0.9096731140357175,0.9619883040935673,0.5306451612903226,0.683991683991684,3076,13,291,329,94.89783260334505,90.15237426757812,30672013.69168742,0.9370799805059654,0.7178947105709352,0.95,0.1144578313253012,0.20430107526881722,9862,2,294,38
rq2_kmeans_smote_fedavg,3,4560.052499139769,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,75.98216279167104,65.2268295288086,5043464.065113484,0.9576541108407566,0.8998603676432454,0.837696335078534,0.7741935483870968,0.8046940486169321,2996,93,140,480,90.28067129444153,85.35598754882812,21070661.74315859,0.8692120977828589,0.6933071385678435,0.8101851851851852,0.5271084337349398,0.6386861313868614,9823,41,157,175
rq2_kmeans_smote_fedavg,4,4054.3929904188817,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,71.49585461103672,60.57876968383789,3348130.5352089475,0.8851444772815087,0.8553875256067272,0.8967611336032388,0.714516129032258,0.7953321364452424,3038,51,177,443,85.26936867583224,80.14034271240234,13989491.070713205,0.7286092362149328,0.6014752211014985,0.8709677419354839,0.4066265060240964,0.5544147843942505,9844,20,197,135
rq2_kmeans_smote_fedavg,5,3553.6261861392186,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,66.74882226255008,55.92176055908203,2151128.545136459,0.9632473187898787,0.9124439697235679,0.8659611992945326,0.7919354838709678,0.827295703454086,3013,76,129,491,79.89892296285977,74.61060333251953,8988112.742629465,0.9135943103313497,0.7337650517293085,0.8411214953271028,0.5421686746987951,0.6593406593406593,9830,34,152,180
rq2_kmeans_smote_fedavg,6,3064.8288896259082,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,61.762213730742154,51.193077087402344,1338785.287550347,0.9840876575569921,0.9328050408345777,0.8307210031347962,0.8548387096774194,0.8426073131955485,2981,108,90,530,74.19558520074662,68.80718231201172,5593525.4607737595,0.9789974985098544,0.7997657941731998,0.7864768683274022,0.6656626506024096,0.7210440456769984,9804,60,111,221
rq2_kmeans_smote_fedavg,7,2593.5986435118807,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,56.58830989176342,46.51438903808594,806954.3280211373,0.9845586315646572,0.9335637588627412,0.7873239436619718,0.9016129032258065,0.8406015037593985,2938,151,61,559,68.18063596868065,62.798301696777344,3370336.293186609,0.9838126838253256,0.8095791622157861,0.7256637168141593,0.7409638554216867,0.7332339791356185,9771,93,86,246
rq2_kmeans_smote_fedavg,8,2144.808601778862,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,51.250566879486804,41.86200714111328,471576.266229867,0.9847925521360916,0.9343835535701699,0.7549668874172185,0.9193548387096774,0.8290909090909091,2904,185,50,570,61.884224375542594,56.598201751708984,1967762.66739693,0.9828790527071791,0.8244329784547532,0.6821705426356589,0.7951807228915663,0.7343532684283728,9741,123,68,264
rq2_kmeans_smote_fedavg,9,1737.797991457077,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,45.86605040853338,37.3836784362793,269232.0266527102,0.9851637966144174,0.9366214609837081,0.7275031685678074,0.9258064516129032,0.8147622427253371,2874,215,46,574,55.40629186053128,50.34779357910156,1120093.039686792,0.9849177732829126,0.8283002584171405,0.6428571428571429,0.8132530120481928,0.7180851063829787,9714,150,62,270
rq2_kmeans_smote_fedavg,10,1363.1236804419636,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,40.448209072683305,33.03200912475586,150463.53948642977,0.9856070969830512,0.9393645654878738,0.7340153452685422,0.9258064516129032,0.818830242510699,2881,208,46,574,48.75198062883574,44.05567932128906,621261.8046470572,0.9868641231593039,0.836510108931377,0.6515513126491647,0.822289156626506,0.7270306258322237,9718,146,59,273
rq2_kmeans_smote_fedavg,11,1037.344402589741,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,35.08049128989822,28.838184356689453,83770.19884428216,0.9866811474639461,0.9443473348215013,0.7756497948016415,0.9145161290322581,0.8393782383419689,2925,164,53,567,41.985738603646716,37.78599548339844,339134.172071468,0.9870858128377256,0.8398118379077123,0.7255434782608695,0.8042168674698795,0.7628571428571429,9763,101,65,267
rq2_kmeans_smote_fedavg,12,760.7031325005975,0.19495438675526522,0.17485077148327513,0.18566279986484965,0.22074557945714607,0.2237864624394639,29.897719933576248,24.816804885864258,48800.47835914746,0.9890939755009973,0.9524210277761053,0.7856173677069199,0.9338709677419355,0.8533529845246868,2931,158,41,579,35.25175049676168,31.71568489074707,188065.9941868662,0.9890810199435209,0.8428456294574888,0.7146739130434783,0.7921686746987951,0.7514285714285714,9759,105,69,263
