target,window_index,unit,true_rul,pred_rul,true_fault,fault_probability,sensor,sensor_rank,abs_input_gradient,subsystem,likely_fault_mode,maintenance_action
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s12,1,0.17175032198429108,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s11,2,0.15927653014659882,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s2,3,0.15920481085777283,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s9,4,0.1546526998281479,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s4,5,0.12392047047615051,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s15,6,0.12308313697576523,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s21,7,0.0986548438668251,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s14,8,0.09303630888462067,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s7,9,0.07358036190271378,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s20,10,0.06500614434480667,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s3,11,0.04944635182619095,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s13,12,0.04471000283956528,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s8,13,0.03658664971590042,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s17,14,0.03470036759972572,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s12,1,0.1931968629360199,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s11,2,0.17511343955993652,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s2,3,0.17168766260147095,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s9,4,0.16358284652233124,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s4,5,0.13295482099056244,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s15,6,0.12490478157997131,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s21,7,0.1084638461470604,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s14,8,0.10303191840648651,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s7,9,0.08353083580732346,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s20,10,0.06501752138137817,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s3,11,0.05047037824988365,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s13,12,0.04677534103393555,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s8,13,0.037213847041130066,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s17,14,0.035164590924978256,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s12,1,0.31906643509864807,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s2,2,0.2919079661369324,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s11,3,0.2402503341436386,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s7,4,0.19217747449874878,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s21,5,0.13903102278709412,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s4,6,0.1268583983182907,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s15,7,0.11225323379039764,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s13,8,0.10926420241594315,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s8,9,0.09407014399766922,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s20,10,0.0831691175699234,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
