experiment,defense,noise_multiplier,target_client_id,attack_auroc,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_threshold,score_direction,attack,member_loss_mean,nonmember_loss_mean,loss_gap,member_loss_drop_mean,nonmember_loss_drop_mean,loss_drop_gap,member_loss_before_mean,member_loss_after_mean,nonmember_loss_before_mean,nonmember_loss_after_mean,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1
no_defense,no_defense,0.0,0,0.516159,0.5255,0.6032388663967612,0.149,0.23897353648757017,-5.300774574279785,as_is,loss_threshold,151.2998809814453,192.81687927246094,41.516998291015625,,,,,,,,14.216114110073294,10.19079303741455,53569.426068267574,0.9961512717536812,0.9031131745154001,0.9,0.7048192771084337,0.7905405405405406
no_defense,no_defense,0.0,0,0.622319,0.5965,0.6384505021520803,0.445,0.5244549204478491,9.768176078796387,as_is,update_effect,,,,52.45833206176758,-46.91480255126953,99.37313842773438,158.36131286621094,105.90296936035156,192.78125,239.69606018066406,14.216114110073294,10.19079303741455,53569.426068267574,0.9961512717536812,0.9031131745154001,0.9,0.7048192771084337,0.7905405405405406
update_clipping,update_clipping,0.0,0,0.6727000000000001,0.649,0.6782296650717703,0.567,0.6176470588235294,-1763.389404296875,as_is,loss_threshold,2175.76806640625,3599.832275390625,1424.064208984375,,,,,,,,60.021075806883246,54.80123519897461,1675347.3291061814,0.9887228353804512,0.803670638766063,0.7331288343558282,0.7198795180722891,0.7264437689969605
update_clipping,update_clipping,0.0,0,0.690817,0.648,0.6796116504854369,0.56,0.6140350877192983,-440.4869384765625,inverted,update_effect,,,,358.12127685546875,571.8972778320312,-213.7760009765625,2364.780029296875,2006.65869140625,3898.341552734375,3326.444580078125,60.021075806883246,54.80123519897461,1675347.3291061814,0.9887228353804512,0.803670638766063,0.7331288343558282,0.7198795180722891,0.7264437689969605
clipping_noise_0.1,clipping_noise,0.1,0,0.6789924999999999,0.649,0.6778042959427207,0.568,0.6180631120783461,-2102.5732421875,as_is,loss_threshold,2444.02734375,4022.71142578125,1578.68408203125,,,,,,,,63.4671074688988,58.144813537597656,2255879.8516496387,0.9859358358006234,0.8031929643855226,0.7508090614886731,0.6987951807228916,0.7238689547581904
clipping_noise_0.1,clipping_noise,0.1,0,0.6910315,0.648,0.6800486618004866,0.559,0.6136114160263447,-462.6734619140625,inverted,update_effect,,,,373.4802551269531,583.8646850585938,-210.38442993164062,2615.4921875,2242.011962890625,4289.6826171875,3705.8173828125,63.4671074688988,58.144813537597656,2255879.8516496387,0.9859358358006234,0.8031929643855226,0.7508090614886731,0.6987951807228916,0.7238689547581904
clipping_noise_0.3,clipping_noise,0.3,0,0.673859,0.649,0.6778042959427207,0.568,0.6180631120783461,-1822.415771484375,as_is,loss_threshold,2221.716064453125,3673.644775390625,1451.9287109375,,,,,,,,60.63726518971234,55.377967834472656,1767806.9746543842,0.9891906433519968,0.8064479787502068,0.7571884984025559,0.713855421686747,0.7348837209302326
clipping_noise_0.3,clipping_noise,0.3,0,0.680985,0.6475,0.6836861768368617,0.549,0.6089850249584027,-429.663818359375,inverted,update_effect,,,,356.6578369140625,569.1838989257812,-212.52606201171875,2401.177490234375,2044.51953125,3956.21240234375,3387.02880859375,60.63726518971234,55.377967834472656,1767806.9746543842,0.9891906433519968,0.8064479787502068,0.7571884984025559,0.713855421686747,0.7348837209302326
clipping_noise_0.5,clipping_noise,0.5,0,0.6717945000000001,0.6495,0.6786140979689367,0.568,0.6183995645073489,-2140.533447265625,as_is,loss_threshold,2475.65087890625,4070.265380859375,1594.614501953125,,,,,,,,63.84029489243549,58.509613037109375,2328850.991394079,0.9896747879596244,0.817457396655022,0.7626582278481012,0.7259036144578314,0.7438271604938271
clipping_noise_0.5,clipping_noise,0.5,0,0.6803404999999999,0.6475,0.6805385556915544,0.556,0.6119977985690699,-469.98681640625,inverted,update_effect,,,,382.46905517578125,595.740234375,-213.27117919921875,2666.197021484375,2283.72802734375,4364.61181640625,3768.8720703125,63.84029489243549,58.509613037109375,2328850.991394079,0.9896747879596244,0.817457396655022,0.7626582278481012,0.7259036144578314,0.7438271604938271
clipping_noise_1,clipping_noise,1.0,0,0.6760735,0.6485,0.6769964243146603,0.568,0.6177270255573681,-2113.76708984375,as_is,loss_threshold,2453.71875,4037.157958984375,1583.439208984375,,,,,,,,63.58040208505192,58.2699089050293,2277247.315721791,0.9889921608575422,0.810674931591944,0.7532051282051282,0.7078313253012049,0.7298136645962733
clipping_noise_1,clipping_noise,1.0,0,0.6916915,0.648,0.6800486618004866,0.559,0.6136114160263447,-468.4766845703125,inverted,update_effect,,,,376.19171142578125,593.6007690429688,-217.4090576171875,2641.908203125,2265.716552734375,4329.51806640625,3735.91748046875,63.58040208505192,58.2699089050293,2277247.315721791,0.9889921608575422,0.810674931591944,0.7532051282051282,0.7078313253012049,0.7298136645962733
